unified_title,site,site_product_id,price,confidence
Who will overtake Gemini 2.5 pro when?,manifold,hURtluQUU2,,1.000
Do you frequently answer polls?,manifold,tlSnC225cL,,1.000
Is Trump dead?,manifold,5nltS9CyA0,0.0072,1.000
Will Starship fail in its zero-degree AoA deadzone?,manifold,std9c0SsOc,0.2435,1.000
Will Jose Luis Ricon become the MASCOT of the manosphere?,manifold,8dgRsh9gE2,,1.000
Will there be a cheaper form of fatty15 (https://www.rapamycin.news/t/c15-0-fatty-acid/14804/27) by EOY2026?,manifold,hll6EE5E22,0.4480,1.000
What is trump doing on labor day weekend (add answers),manifold,UpNsz5Nu8p,,1.000
Russia assembles a domestic tribunal by EOY2050?,manifold,5pE9slyzLN,0.4950,1.000
Who of the following would be humanity's best steering vector?,manifold,52PU0hnOzl,,1.000
Daily Coinflip,manifold,CQ9L8C9hN0,0.5000,1.000
