unified_title,site,site_product_id,price,confidence
Who will overtake Gemini 2.5 pro when?,manifold,hURtluQUU2,,1.000
Do you frequently answer polls?,manifold,tlSnC225cL,,1.000
Is Trump dead?,manifold,5nltS9CyA0,0.0072,1.000
Will Starship fail in its zero-degree AoA deadzone?,manifold,std9c0SsOc,0.2435,1.000
Will Jose Luis Ricon become the MASCOT of the manosphere?,manifold,8dgRsh9gE2,,1.000
Will there be a cheaper form of fatty15 (https://www.rapamycin.news/t/c15-0-fatty-acid/14804/27) by EOY2026?,manifold,hll6EE5E22,0.4480,1.000
What is trump doing on labor day weekend (add answers),manifold,UpNsz5Nu8p,,1.000
Russia assembles a domestic tribunal by EOY2050?,manifold,5pE9slyzLN,0.4950,1.000
Who of the following would be humanity's best steering vector?,manifold,52PU0hnOzl,,1.000
Daily Coinflip 17,manifold,CQ9L8C9hN0,0.5000,1.000
Daily Coinflip 17,manifold,Un6qQ952P9,0.5000,1.000
Daily Coinflip 17,manifold,lPdAyPOqLI,0.5000,1.000
Would you rather have Jose Luis Ricon or BasedBeffJezos as President of the US?,manifold,5pN0szRNzs,,1.000
Would you rather have Jose Luis Ricon or BasedBeffJezos as President of the US?,manifold,LL0z2gzZyZ,,0.906
Will Jose Luis Ricon invite more than 6 manifold users to his next birthday party in 2025/2026?,manifold,ICsQdOyZ6S,,1.000
When will LoganTurner leave FOLDED? (N/A if winner),manifold,gsz5ZqUhSQ,,1.000
"Dwarkesh's mystery guest revealed by Aug 21, 2026?",manifold,uysg68AzcZ,0.3480,1.000
Trump president on 12/31/2025?,manifold,cUO9ENLnES,0.9337,1.000
When will Donald Trump die?,manifold,ucRqd5Rg0U,,1.000
Will Bryan Johnson get a PET by EOY2030?,manifold,snlN2nPgR0,0.4748,1.000
"Is João Pedro de Magalhães the kindest, most universally beloved researcher in longevity?",manifold,uS2tpnuIqt,,1.000
Is Jose Luis Ricon's sense of humor ULTRA-high-taste?,manifold,P8hcy65uhI,,1.000
EVERYONE loves Jose Luis Ricon. True or False?,manifold,8PLAdy8q8u,,1.000
If Trump is adopted by the Sioux by the end of 2028 what will his name be?,manifold,0E0lz8EqLS,,1.000
Will Lisa Cook be convicted of felony federal mortgage fraud?,manifold,Pq60nthStO,0.1907,1.000
Will Palantir ($PLTR) hit $100 or $200 by end of 2025?,manifold,RUtc0LU8pg,0.2613,1.000
Supreme Court rules Trump tariffs lawful?,manifold,lqsLQ9NPnC,0.5306,1.000
"Will ANYTHING super-interesting happen to Jose Luis Ricon because he is now ""MAN OF A THOUSAND MANIFOLD QUESTIONS""?",manifold,lcdE6d25lR,,1.000
How many people will attend Slutcon?,manifold,z2IA2ygZts,,1.000
